,bgn_utm,bulan,presipitasi,sm_smap,tmin,tmax,t,swr,et_era5,irrigation + pres,Provinsi,irigasi
892,D.I. Batu Bulan,2021-05,24.41,0.39806451612903226,23.22516129032261,30.15580645161292,26.181290322580672,575246563.63,90.39,196.0977223381971,Nusa Tenggara Barat,171.6877223381971
894,D.I. Batu Bulan,2021-07,29.880000000000003,0.3258064516129032,22.421612903225828,30.29419354838711,25.670322580645184,587762246.54,53.629999999999995,128.88096115259708,Nusa Tenggara Barat,99.00096115259709
895,D.I. Batu Bulan,2021-08,11.42,0.2948387096774194,23.14806451612905,31.124193548387126,26.440322580645187,630106615.16,44.68,113.2091438996574,Nusa Tenggara Barat,101.7891438996574
904,D.I. Batu Bulan,2022-05,57.29,0.407741935483871,23.744838709677442,30.17387096774196,26.530322580645183,573493313.33,112.8,213.42656362937106,Nusa Tenggara Barat,156.13656362937107
906,D.I. Batu Bulan,2022-07,35.19,0.34741935483870967,22.283225806451643,29.250967741935504,25.15806451612905,535038486.83,64.73,143.64093719292458,Nusa Tenggara Barat,108.45093719292458
907,D.I. Batu Bulan,2022-08,12.749999999999998,0.3370967741935484,22.76419354838712,30.872258064516153,26.161935483870995,627047731.23,52.94,146.93125829571525,Nusa Tenggara Barat,134.18125829571525
915,D.I. Batu Licin,2021-04,86.28,0.325,23.13900000000003,30.36566666666669,26.18766666666669,594922604.0,137.77,266.83577712989063,Kalimantan Tengah,180.55577712989063
939,D.I. Batu Merah,2021-04,81.28999999999999,0.48166666666666663,22.954333333333356,28.934000000000026,25.676333333333364,570368407.34,130.49,265.8559467426932,Nusa Tenggara Timur,184.56594674269323
940,D.I. Batu Merah,2021-05,11.72,0.3558064516129032,23.325483870967762,30.656129032258086,26.530645161290348,606893818.34,86.23,121.08156680890046,Nusa Tenggara Timur,109.36156680890046
941,D.I. Batu Merah,2021-06,17.6,0.29433333333333334,23.020333333333358,30.828333333333358,26.361666666666682,528319275.19,55.69,100.14062087671314,Nusa Tenggara Timur,82.54062087671315
942,D.I. Batu Merah,2021-07,18.97,0.26967741935483874,21.98483870967744,31.411612903225826,26.058064516129054,607466195.57,47.44,94.77545752032742,Nusa Tenggara Timur,75.80545752032742
943,D.I. Batu Merah,2021-08,0.1,0.24838709677419354,22.645161290322605,32.07161290322583,26.790645161290346,662187882.53,41.8,88.12835210957877,Nusa Tenggara Timur,88.02835210957878
944,D.I. Batu Merah,2021-09,1.71,0.23999999999999996,23.658000000000026,32.752666666666684,27.530333333333356,695629931.87,43.14,87.57222516806557,Nusa Tenggara Timur,85.86222516806558
